this line is not a valid log record at all
49.36.120.219 - - [04/Aug/2026:06:40:35 +0530] "GET /favicon.ico HTTP/1.1" 200 29137 "https://www.google.com/" "python-requests/2.31.0"
49.36.7.168 - - [04/Aug/2026:06:41:15 +0530] "POST /api/v1/items HTTP/1.1" 400 591 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
185.220.101.44 - - [04/Aug/2026:06:41:47 +0530] "GET /admin/panel19 HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.108.114 - - [04/Aug/2026:06:42:32 +0530] "GET /favicon.ico HTTP/1.1" 200 26509 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.82.135 - - [04/Aug/2026:06:42:53 +0530] "GET /blog/python-tips HTTP/1.1" 200 1433 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.100.122 - - [04/Aug/2026:06:43:41 +0530] "GET /about HTTP/1.1" 404 0 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.19.58 - - [04/Aug/2026:06:44:14 +0530] "GET /contact HTTP/1.1" 200 47003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.54.182 - - [04/Aug/2026:06:45:04 +0530] "GET /blog/python-tips HTTP/1.1" 200 33060 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.158.76 - - [04/Aug/2026:06:45:26 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 29821 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.54.182 - - [04/Aug/2026:06:46:11 +0530] "GET /index.html HTTP/1.1" 200 36297 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.70.232 - - [04/Aug/2026:06:46:58 +0530] "POST /api/v1/items HTTP/1.1" 201 593 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.214.13 - - [04/Aug/2026:06:47:22 +0530] "GET /api/v1/items HTTP/1.1" 200 7426 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.63.132 - - [04/Aug/2026:06:48:04 +0530] "GET /about HTTP/1.1" 200 43662 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.151.151 - - [04/Aug/2026:06:48:54 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 20395 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.95.151 - - [04/Aug/2026:06:49:20 +0530] "POST /api/v1/items HTTP/1.1" 201 446 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.31.70 - - [04/Aug/2026:06:50:09 +0530] "GET /products/42 HTTP/1.1" 200 38361 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
185.220.101.44 - - [04/Aug/2026:06:50:35 +0530] "GET /wp-admin/setup-config.php HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.196.127 - - [04/Aug/2026:06:51:27 +0530] "GET /blog/python-tips HTTP/1.1" 200 43263 "https://www.google.com/" "python-requests/2.31.0"
49.36.48.116 - - [04/Aug/2026:06:51:56 +0530] "GET /contact HTTP/1.1" 200 3384 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.242.185 - - [04/Aug/2026:06:52:37 +0530] "GET /static/css/main.css HTTP/1.1" 200 28410 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.82.135 - - [04/Aug/2026:06:53:08 +0530] "GET /products HTTP/1.1" 404 0 "https://www.google.com/" "python-requests/2.31.0"
49.36.231.9 - - [04/Aug/2026:06:54:05 +0530] "GET /products HTTP/1.1" 200 36352 "https://news.ycombinator.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.242.185 - - [04/Aug/2026:06:54:28 +0530] "GET /products/42 HTTP/1.1" 404 0 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.108.114 - - [04/Aug/2026:06:55:04 +0530] "GET /index.html HTTP/1.1" 200 18439 "-" "python-requests/2.31.0"
49.36.184.82 - - [04/Aug/2026:06:56:00 +0530] "GET /blog/python-tips HTTP/1.1" 200 47494 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.70.232 - - [04/Aug/2026:06:56:32 +0530] "GET /api/v1/items HTTP/1.1" 200 35466 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.161.109 - - [04/Aug/2026:06:56:58 +0530] "GET /contact HTTP/1.1" 200 27282 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.77.209 - - [04/Aug/2026:06:57:47 +0530] "GET /blog/python-tips HTTP/1.1" 200 27171 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.84.19 - - [04/Aug/2026:06:58:29 +0530] "GET /index.html HTTP/1.1" 200 29624 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.108.114 - - [04/Aug/2026:06:58:56 +0530] "GET /blog/python-tips HTTP/1.1" 200 6726 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.63.132 - - [04/Aug/2026:06:59:42 +0530] "GET /api/v1/items HTTP/1.1" 200 2730 "https://news.ycombinator.com/" "python-requests/2.31.0"
49.36.196.127 - - [04/Aug/2026:07:00:21 +0530] "GET /favicon.ico HTTP/1.1" 200 13042 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.110.16 - - [04/Aug/2026:07:00:54 +0530] "GET /contact HTTP/1.1" 200 27951 "https://news.ycombinator.com/" "python-requests/2.31.0"
49.36.48.116 - - [04/Aug/2026:07:01:37 +0530] "GET /about HTTP/1.1" 200 1581 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.242.185 - - [04/Aug/2026:07:02:05 +0530] "GET /static/img/hero.png HTTP/1.1" 200 4218 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.76.30 - - [04/Aug/2026:07:03:00 +0530] "POST /api/v1/items HTTP/1.1" 200 559 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
185.220.101.44 - - [04/Aug/2026:07:03:24 +0530] "GET /phpmyadmin/index.php HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.128.156 - - [04/Aug/2026:07:04:04 +0530] "GET /products HTTP/1.1" 304 0 "https://www.google.com/" "python-requests/2.31.0"
49.36.155.159 - - [04/Aug/2026:07:04:53 +0530] "GET /index.html HTTP/1.1" 200 34104 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.82.135 - - [04/Aug/2026:07:05:16 +0530] "GET /api/v1/items HTTP/1.1" 200 28898 "https://www.google.com/" "python-requests/2.31.0"
49.36.217.65 - - [04/Aug/2026:07:05:56 +0530] "POST /api/v1/items HTTP/1.1" 200 412 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.127.38 - - [04/Aug/2026:07:06:49 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 44140 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.19.58 - - [04/Aug/2026:07:07:23 +0530] "GET /static/css/main.css HTTP/1.1" 200 15980 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.143.119 - - [04/Aug/2026:07:08:00 +0530] "GET /products HTTP/1.1" 200 25913 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.224.149 - - [04/Aug/2026:07:08:38 +0530] "GET /contact HTTP/1.1" 200 15434 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
103.21.58.9 - - [04/Aug/2026:07:09:26 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.242.185 - - [04/Aug/2026:07:09:56 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 24750 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.155.159 - - [04/Aug/2026:07:10:36 +0530] "GET /static/css/main.css HTTP/1.1" 200 34141 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.240.65 - - [04/Aug/2026:07:11:03 +0530] "GET /about HTTP/1.1" 200 13569 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.137.191 - - [04/Aug/2026:07:11:44 +0530] "GET /products/42 HTTP/1.1" 200 6968 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.118.127 - - [04/Aug/2026:07:12:39 +0530] "GET /products HTTP/1.1" 200 14206 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.242.185 - - [04/Aug/2026:07:13:10 +0530] "GET /about HTTP/1.1" 200 23048 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.36.37 - - [04/Aug/2026:07:13:37 +0530] "GET /about HTTP/1.1" 200 29089 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.31.70 - - [04/Aug/2026:07:14:26 +0530] "GET /contact HTTP/1.1" 200 22303 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.95.151 - - [04/Aug/2026:07:15:04 +0530] "GET /about HTTP/1.1" 200 16513 "https://news.ycombinator.com/" "python-requests/2.31.0"
49.36.36.37 - - [04/Aug/2026:07:15:37 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 9608 "https://news.ycombinator.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.242.185 - - [04/Aug/2026:07:16:13 +0530] "GET /index.html HTTP/1.1" 200 6397 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.26.141 - - [04/Aug/2026:07:16:50 +0530] "GET /index.html HTTP/1.1" 200 15170 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
185.220.101.44 - - [04/Aug/2026:07:17:45 +0530] "GET /wp-login.php HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.76.30 - - [04/Aug/2026:07:18:12 +0530] "GET /products/42 HTTP/1.1" 200 15531 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.151.122 - - [04/Aug/2026:07:18:52 +0530] "GET /static/css/main.css HTTP/1.1" 200 3194 "https://news.ycombinator.com/" "python-requests/2.31.0"
49.36.4.64 - - [04/Aug/2026:07:19:22 +0530] "GET /static/js/app.js HTTP/1.1" 200 18027 "-" "python-requests/2.31.0"
49.36.142.196 - - [04/Aug/2026:07:20:19 +0530] "GET /api/v1/items HTTP/1.1" 200 14898 "https://news.ycombinator.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.231.9 - - [04/Aug/2026:07:20:46 +0530] "GET / HTTP/1.1" 200 44792 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.63.132 - - [04/Aug/2026:07:21:29 +0530] "GET /contact HTTP/1.1" 200 16471 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.142.196 - - [04/Aug/2026:07:22:10 +0530] "GET /index.html HTTP/1.1" 200 19070 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.231.9 - - [04/Aug/2026:07:22:36 +0530] "GET /contact HTTP/1.1" 200 10350 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.143.119 - - [04/Aug/2026:07:23:24 +0530] "GET /products HTTP/1.1" 200 43893 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.196.127 - - [04/Aug/2026:07:24:10 +0530] "GET /blog/python-tips HTTP/1.1" 304 0 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.161.109 - - [04/Aug/2026:07:24:35 +0530] "GET /favicon.ico HTTP/1.1" 200 33732 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
103.21.58.9 - - [04/Aug/2026:07:25:10 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.31.70 - - [04/Aug/2026:07:25:56 +0530] "GET /static/js/app.js HTTP/1.1" 200 40308 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
103.21.58.9 - - [04/Aug/2026:07:26:24 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.82.135 - - [04/Aug/2026:07:27:10 +0530] "POST /api/v1/items HTTP/1.1" 201 586 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.214.13 - - [04/Aug/2026:07:27:46 +0530] "GET /static/js/app.js HTTP/1.1" 200 41121 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.149.248 - - [04/Aug/2026:07:28:24 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 3690 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.228.234 - - [04/Aug/2026:07:29:08 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 31331 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.242.185 - - [04/Aug/2026:07:29:48 +0530] "GET /static/js/app.js HTTP/1.1" 200 9975 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.158.76 - - [04/Aug/2026:07:30:23 +0530] "GET /api/v1/items HTTP/1.1" 200 7362 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.151.122 - - [04/Aug/2026:07:31:12 +0530] "POST /api/v1/items HTTP/1.1" 200 528 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.57.73 - - [04/Aug/2026:07:31:33 +0530] "GET /static/img/hero.png HTTP/1.1" 200 43763 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
103.21.58.9 - - [04/Aug/2026:07:32:27 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.77.209 - - [04/Aug/2026:07:33:02 +0530] "POST /api/v1/items HTTP/1.1" 201 881 "-" "python-requests/2.31.0"
49.36.158.76 - - [04/Aug/2026:07:33:42 +0530] "GET /static/img/hero.png HTTP/1.1" 200 7726 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.143.119 - - [04/Aug/2026:07:34:05 +0530] "GET /index.html HTTP/1.1" 200 16866 "https://www.google.com/" "python-requests/2.31.0"
49.36.196.127 - - [04/Aug/2026:07:35:38 +0530] "GET /favicon.ico HTTP/1.1" 200 43968 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
